material_id,energy_above_hull,elements,density,formula_pretty,nelements,volume,band_gap,is_metal,total_magnetization,theoretical,battery_type,working_ion,average_voltage,theoretical_capacity_grav,theoretical_capacity_vol,energy_grav,energy_vol,num_steps,max_voltage_step,stability_charge,stability_discharge
mp-754276,0.067196582361111,"['Cr', 'Mn', 'O']",3.506653001435615,MnCrO4,3.0,161.88590098786864,0.0,True,10.0000611,False,insertion,Mg,0.6718393474999941,146.38879028265862,541.8265738001104,98.34974934481488,364.02041180002374,1.0,0.0,0.067196582361111,0.23385021064102302
mp-754278,0.083187686234568,"['F', 'Fe', 'O']",4.251779503594642,Fe3(OF2)2,3.0,215.21531513419916,1.2338,False,27.9994922,True,insertion,Li,2.093211676666679,48.031687542724676,199.01096599929022,100.54048921443675,416.5720778144297,1.0,0.0,0.083187686234568,0.13250175567251302
mp-754287,0.04004446611113,"['F', 'O', 'V']",3.232024112316089,V4O7F5,3.0,211.03578888037754,1.521399999999999,False,1.0013241,True,insertion,Mg,1.306054557500002,123.2085417405443,427.4037760166098,160.91707746316715,558.2126495592033,1.0,0.0,0.04004446611113,0.143676752745093
mp-754295,0.06600566919752901,"['F', 'Fe', 'Li', 'O']",2.980077502058908,Li3FeOF4,4.0,187.96034705354205,2.3917,False,2e-06,True,insertion,Li,2.272235621666662,152.6262752801652,480.471417564398,346.80285949389327,1091.744270182502,1.0,0.0,0.06600566919752901,0.06747396749999901
mp-754313,0.093470991999998,"['Co', 'Li', 'O', 'V']",3.118889691736949,LiV3CoO10,4.0,201.6211140616944,0.6737000000000001,False,5.0001932,True,insertion,Li,2.912422013333331,201.25478033119992,648.2937875816972,586.1388525251507,1888.1050980601779,1.0,0.0,0.093470991999998,0.137230122072652
mp-754320,0.029004852754633003,"['C', 'Li', 'Mn', 'O', 'P']",2.716002750405822,Li2MnPCO7,5.0,273.65889289695673,0.403699999999999,False,8.0012407,True,insertion,Na,0.9258325099999971,108.60031954832657,297.6679816497887,100.54570643422893,275.59069459745695,1.0,0.0,0.029004852754633003,0.041073223333348
mp-754327,0.04959728267856801,"['Cu', 'Ho', 'O']",8.71777891587583,Ho2CuO4,3.0,87.1251286684156,0.0,True,0.0032833,True,insertion,Mg,-2.6670909975,111.27659143662635,654.6386893552096,-296.7847952531118,-1745.980954994479,1.0,0.0,0.04959728267856801,0.9166947323437471
mp-754339,0.04083131031863,"['Li', 'O', 'Sb', 'Te', 'W']",6.17544060022219,LiSbTe2WO12,5.0,204.2878778675452,1.9194,False,0.0014236,True,insertion,Li,2.6915440366666603,103.00908714918847,578.3680097122572,277.2534942388746,1556.7029675397912,1.0,0.0,0.04083131031863,0.08488588118750601
mp-754351,0.010480923567712,"['C', 'Cu', 'K', 'O', 'P']",2.59337022768571,K2CuPCO7,5.0,379.98423753330223,0.0811,False,0.0002658,True,insertion,K,-1.7255106962500042,79.80879163703177,231.67467567936455,-137.7109236244862,-399.7571309349942,1.0,0.0,0.010480923567712,0.026725782307694002
mp-754356,0.013562943599987,"['C', 'Mn', 'Na', 'O', 'P']",2.79429746474467,Na5Mn2P2(CO7)2,5.0,635.6031599699506,0.0,True,18.0076177,True,insertion,Li,2.9873825866666923,49.474196120260046,140.02385024634418,147.79835197899774,418.3048119439533,1.0,0.0,0.013562943599987,0.011093385256424
mp-754364,0.05114320696429701,"['Cu', 'O', 'Y']",5.710752019177434,Y2CuO4,3.0,88.78942793183971,0.0,True,0.006486299999999,True,insertion,Mg,-2.593934922499999,162.6005991341019,650.5779409534268,-421.77537251337014,-1687.5568408472363,1.0,0.0,0.05114320696429701,0.8997583973437481
mp-754371,0.080931014490723,"['F', 'Mn', 'O']",4.398171041092158,Mn6O7F5,3.0,202.6005733391655,0.0,True,23.0019501,True,insertion,Mg,1.2160559925,95.56239483342898,389.6060089365488,116.20922289484238,473.7827218812988,1.0,0.0,0.080931014490723,0.146034868399122
mp-754379,0.08963644731480201,"['F', 'Mn', 'O']",4.498463472623498,Mn3(O2F)2,3.0,196.97659389412786,0.0,True,22.0017066,True,insertion,Mg,1.167426182500006,96.07607216712911,399.4181647043044,112.16172215966662,466.29122324190473,1.0,0.0,0.08963644731480201,0.159401047916666
mp-754389,0.10418095296296401,"['F', 'Fe', 'O']",4.069755047177923,FeOF,3.0,111.19688179095019,1.7936,False,15.0000006,True,insertion,Mg,0.978873907499997,180.5826452047997,768.2725748404997,176.76763953830803,752.0419773592046,1.0,0.0,0.10418095296296401,0.13619549525000102
mp-754420,0.06304720035714301,"['F', 'Fe', 'Li', 'O']",2.582803288596099,Li7FeO5F,4.0,130.7877962375535,0.7191999999999991,False,4.0003779,True,insertion,Li,2.509462256666661,127.40259819286346,328.2578523090802,319.712011566259,823.7506908240958,1.0,0.0,0.06304720035714301,0.051991217999999007
mp-754425,0.12377689170635701,"['Cr', 'Li', 'Mn', 'O']",3.944179630627498,Li2MnCr3O8,4.0,148.53382050813602,0.0,True,11.0010631,True,insertion,Li,2.8227982516666703,146.18237075783225,599.1792834300602,412.64334059969786,1691.3622337012623,2.0,1.251027790000009,0.12377689170635701,0.031637376875000005
