,theo_energy_vol,max_electronegativity,exp_energy_vol,crystal_system_Hexagonal,theoretical_False,atomic_weight_ion,energy_grav,ionic_radius_ion,avg_atomic_number,energy_vol,min_atomic_number,min_covalent_radius,crystal_system_Cubic,min_electronegativity,max_atomic_mass,nelements,max_covalent_radius,is_metal_False,stability_discharge,avg_atomic_mass,formula_pretty
1670,0.5858852092432083,-0.0827529746914719,0.0,0,0,1.4429944633676537,0.7999450909836999,-0.6780932454973677,-0.8041654167015182,0.5858852092432083,-0.2511629276263421,0.3820071422726114,0,1.1163196278616012,-0.6108381110419495,-0.6561991151099974,-0.4170750460042923,0,-0.8495120225712817,-0.7916658607991178,Fe(CO3)2
592,-0.0,-3.0942036558053627,-0.0366768389774861,0,1,-0.7034641555777603,-0.3946125630592173,-0.0131492908306707,2.884758803060584,-0.0366768389774861,-1.2905098173233371,1.976658616625788,1,-1.0181169576709177,2.588245385627312,-0.6561991151099974,0.0469465486083014,0,-0.8495120225712817,3.02957818251159,LiSbAu
3282,-0.3285514766476725,-0.0827529746914719,-0.0,0,0,1.280440150771868,-0.3193645725715461,4.308986414502856,-0.4154400688126085,-0.3285514766476725,-0.2511629276263421,0.3820071422726114,0,-1.1436720509375362,-0.1782930583335248,1.9877844539589384,0.8589843391803406,0,-0.5064990577184503,-0.4019901335489595,Na4Mn2As(CO4)4
1434,0.0805867499273776,-0.0827529746914719,0.0,0,0,-0.7034641555777603,0.261227572689839,-0.0131492908306707,-0.7545831019197696,0.0805867499273776,-1.2905098173233371,-0.9848369786015396,0,-1.0181169576709177,-0.4360663883300605,0.6657926694244705,-0.8810966406168861,0,-0.5161400022973996,-0.7238583313106739,LiCu2P5O16
3387,-0.2505436351035606,-0.0827529746914719,-0.0,0,0,1.280440150771868,-0.2131838704470427,4.308986414502856,-0.7486332241459597,-0.2505436351035606,-0.2511629276263421,0.3820071422726114,0,-1.1436720509375362,-0.546165773182414,1.9877844539589384,0.8589843391803406,0,-0.8495120225712817,-0.7725868337610289,Na4Ni2C4SO16
1270,-0.0,-0.0827529746914719,-1.0531583785551075,0,1,1.4429944633676537,-1.102965939611232,-0.6780932454973677,2.369102729330397,-1.0531583785551075,0.4417349988383212,0.3820071422726114,0,-1.4952263120840688,1.2363924575432446,0.6657926694244705,5.344526420435414,1,1.5577311915780618,2.3759865195077734,CsBa2Nb3O10
470,1.0348349153605572,-0.0827529746914719,0.0,0,0,-0.7034641555777603,0.8258060916650247,-0.0131492908306707,0.0288174716318589,1.0348349153605572,0.4417349988383212,0.3820071422726114,0,1.1163196278616012,-0.5407211013175413,-0.6561991151099974,-0.4170750460042923,1,-0.8236065044773472,-0.0503739736328936,FeCo3O8
2819,0.2502882624833451,-0.0827529746914719,0.0,1,0,-0.7034641555777603,0.2288974932205788,-0.0131492908306707,-0.962828824003114,0.2502882624833451,-1.2905098173233371,0.3820071422726114,0,-1.0181169576709177,-0.6312839090986572,-0.6561991151099974,-0.3010696473511439,1,-0.3295942536600258,-0.8850807094483049,LiMn2O4
3117,-0.4468622331263247,-0.0827529746914719,-0.0,0,0,-0.7034641555777603,-0.5027120343027666,-0.0131492908306707,-1.042160527653912,-0.4468622331263247,-1.2905098173233371,0.3820071422726114,0,-1.0181169576709177,-0.721878225659873,-0.6561991151099974,-0.8810966406168861,1,-0.0906657908958337,-0.9482193370088534,Li3V5O12
2954,-0.4713690166757452,-0.0827529746914719,-0.0,0,0,1.280440150771868,-0.5470466458954832,4.308986414502856,-0.4868386020983267,-0.4713690166757452,-0.5976118908586737,0.3820071422726114,0,-1.1436720509375362,-0.1782930583335248,1.9877844539589384,0.8589843391803406,1,-0.6633529490961985,-0.4512575812348661,Na2VBAsO7
3339,-0.3311575427211466,-0.0827529746914719,-0.0,0,0,-0.7034641555777603,-0.3566899257742368,-0.0131492908306707,-1.171074546086459,-0.3311575427211466,-1.2905098173233371,0.3820071422726114,0,-1.0181169576709177,-0.6312839090986572,0.6657926694244705,-0.3010696473511439,0,-0.4827168474389615,-1.0648144322399564,Li2Mn3(BO3)3
3230,0.1964481267700061,-0.0827529746914719,0.0,0,0,-0.7034641555777603,0.4521453072429149,-0.0131492908306707,-0.3281751947967311,0.1964481267700061,0.4417349988383212,-0.9848369786015396,0,1.292096758434867,-0.4360663883300605,-0.6561991151099974,-0.9584335730523184,0,-0.8319301823679922,-0.370280966383159,Cu(PO3)3
745,-0.6150310683920789,-0.0827529746914719,-0.0,0,0,1.4429944633676537,-0.7309054644419402,-0.6780932454973677,-0.6058361575745236,-0.6150310683920789,0.4417349988383212,0.3820071422726114,0,0.3881000869152124,-0.7915715669669681,-1.9781908996444653,-0.6877543095283054,1,-0.4934139730905413,-0.6028917059749459,TiO2
362,-0.0,-2.960361403311412,-0.8102292581190553,0,1,1.4429944633676537,-0.998890118616403,-0.6780932454973677,0.7328863415326908,-0.8102292581190553,3.2133267046969745,-0.9848369786015396,0,-1.4198932561240978,0.2293893000574388,0.6657926694244705,2.715070717630716,1,0.767381297690901,0.5807107514930377,KNb(CuS2)2
2853,0.3250638699919223,-0.0827529746914719,0.0,0,0,-0.7034641555777603,0.4080101500085945,-0.0131492908306707,-0.1595953245387854,0.3250638699919223,0.4417349988383212,0.3820071422726114,0,0.6894323107550971,-0.546165773182414,0.6657926694244705,-0.6104173770928731,0,-0.0848087224361798,-0.2482616830249948,CrNi5(PO4)6
2076,0.2643946391010398,-0.0827529746914719,0.0,0,0,-0.7034641555777603,0.3440052899528874,-0.0131492908306707,0.5543900083183956,0.2643946391010398,0.4417349988383212,0.3820071422726114,0,0.4132111055685362,0.8834487840511414,0.6657926694244705,0.0469465486083014,0,-0.0811614948520077,0.5338623903339655,Mn3Sb(PO4)4
122,0.0492884999494315,-0.0827529746914719,0.0,0,0,1.4429944633676537,0.1863156318513886,-0.6780932454973677,-0.3380916577530807,0.0492884999494315,0.4417349988383212,0.3820071422726114,0,0.3881000869152124,-0.6979746223395503,0.6657926694244705,-0.6104173770928731,0,-0.8305777825422228,-0.3765361620688368,TiCr(PO4)3
3326,-0.072805243001104,-0.0827529746914719,-0.0,0,0,-0.7034641555777603,-0.2053172768298172,-0.0131492908306707,-0.4570892132292775,-0.072805243001104,-1.2905098173233371,-0.9848369786015396,0,-1.0181169576709177,-0.4360663883300605,0.6657926694244705,-0.3010696473511439,0,-0.443979062350692,-0.4399117881634545,Li4Mn2Cu3O10
2747,0.6084746110568041,-0.0827529746914719,0.0,0,0,-0.7034641555777603,1.0948836814340228,-0.0131492908306707,-0.820031757431678,0.6084746110568041,-0.2511629276263421,0.3820071422726114,0,-1.1436720509375362,-0.6108381110419495,1.9877844539589384,0.8589843391803406,1,-0.6264571152679114,-0.8100216349485511,NaFePCO7
